#k-distance eigenvalue[eV]
0.56279689 -21.10890000
0.78124217 -21.08840000
0.99968744 -21.06790000
1.21813272 -21.05940000
1.21813272 -21.05940000
1.24964308 -21.05940000
1.28115344 -21.05940000
1.31266380 -21.05940000
1.34417416 -21.05940000
1.34417416 -21.05940000
1.36236667 -21.05940000
1.38055919 -21.05940000
1.39875170 -21.05940000
1.41694422 -21.05940000
1.41694422 -21.05940000
1.45332925 -21.05940000
1.48971427 -21.05940000
1.52609931 -21.05940000
1.56248434 -21.05940000
1.56248434 -21.05940000
1.78092961 -21.06790000
1.99937489 -21.08840000
2.21782016 -21.10880000
2.43626544 -21.11730000
2.43626544 -21.05940000
2.65471071 -21.06790000
2.87315599 -21.08840000
3.09160126 -21.10880000
3.31004654 -21.11730000

0.00000000 -21.11720000
0.03151036 -21.11720000
